id,lat_min,lng_min,lat_max,lng_max,status,roadNum,statusCode
385,22.92412814,113.2917325,22.92829623,113.2962311,1,2,0
386,23.72473328,113.8125615,23.72885942,113.8170419,?,?,0
387,23.72464397,113.861839,23.7287712,113.8663203,?,?,0
388,23.36057655,113.408715,23.36472342,113.4132056,1,1,0
389,23.38528118,113.0087231,23.38944134,113.0132309,?,?,0
390,23.18183441,113.6868119,23.18599656,113.6913105,?,?,0
391,23.19869395,113.3817417,23.20285151,113.3862379,1,1,0
392,23.16100996,113.5520624,23.16515517,113.5565427,?,?,0
393,23.40203508,113.3862516,23.40618463,113.390747,1,3,0
394,23.3727089,113.6598335,23.37686413,113.6643321,?,?,0
395,23.5510211,113.7587446,23.55516062,113.7632327,?,?,0
396,23.37714826,113.4356432,23.38128912,113.4401278,1,2,0
397,23.36877222,113.4759708,23.37290723,113.4804485,1,1,0
398,23.08205746,113.5475779,23.0862046,113.5520575,1,1,0
399,23.17378208,113.3952251,23.17793816,113.3997187,?,?,0
400,23.06554504,113.2647663,23.06970475,113.2692607,1,1,0
401,23.15716695,113.4131913,23.16132008,113.4176809,1,6,0
402,23.36863921,112.9906919,23.37279976,112.9951995,?,?,0
403,23.48477334,113.2917704,23.48892227,113.2962689,1,2,0
404,23.21939647,113.4670041,23.22353783,113.4714829,1,6,0
405,23.4928868,113.8663047,23.49702311,113.8707865,?,?,0
406,23.49730347,113.3502727,23.50145387,113.354773,?,?,0
407,23.36860284,113.5341629,23.37273827,113.5386406,1,1,0
408,23.1488113,113.4535593,23.15295702,113.4580403,1,1,0
409,23.82395468,113.7318183,23.82808872,113.7363114,1,2,0
410,23.1818888,113.7901181,23.18603688,113.7946008,1,5,0
411,23.4514564,113.5610425,23.45559275,113.5655243,?,?,0
412,23.24408423,113.6643233,23.24824428,113.6688221,?,?,0
413,23.81552139,113.897712,23.81965086,113.9021993,1,2,0
414,23.10294007,113.5117633,23.10708313,113.5162395,1,1,0
415,23.148553,113.8483602,23.1527,113.8528403,?,?,0
416,22.73651239,113.6238213,22.740684,113.6283158,?,?,0
417,23.36026331,113.9560867,23.36442061,113.9605859,?,?,0
418,23.38101102,113.6643324,23.38516616,113.6688312,?,?,0
419,23.30660054,113.3592592,23.31075721,113.3637587,1,5,0
420,23.08632632,113.5072864,23.09046982,113.5117625,?,?,0
421,23.19453111,113.4401149,23.19867762,113.4445986,?,?,0
422,23.36457444,113.3007592,23.36872879,113.3052588,1,6,0
423,23.15689146,113.6778133,23.16105469,113.682312,?,?,0
424,23.14436472,113.5655037,23.14851283,113.5699864,?,?,0
425,23.2358513,113.8080484,23.23999565,113.8125291,1,1,0
426,23.38515706,113.547598,23.38929364,113.5520776,?,?,0
427,23.73294302,113.8439192,23.73706857,113.8483991,?,?,0
428,23.65448572,113.7632395,23.65862064,113.7677268,?,?,0
429,23.33537511,113.9560851,23.33953331,113.9605843,?,?,0
430,23.0655946,113.3097381,23.06976008,113.3142385,2,3,0
431,23.55947665,113.4266842,23.56361254,113.4311708,?,?,0
432,23.84874393,113.7452962,23.8528749,113.7497869,?,?,0
433,23.29398566,113.794608,23.29812928,113.7990902,1,3,0
434,23.41415999,113.9515921,23.4183146,113.9560905,?,?,0
435,23.26919621,113.1797376,23.27333893,113.1840073,1,1,0
436,23.62569468,113.3817713,23.62983668,113.3862675,1,1,0
