id,center_lat,center_lng,bd_lat,bd_lng
186,23.1425974,113.3704949,23.14860305,113.3769776
187,23.20888868,113.7878783,23.21492872,113.7943813
188,22.80948827,113.5453207,22.81557277,113.5518134
189,23.35845414,113.3570129,23.36423698,113.3635408
190,23.54495868,113.4468638,23.55069964,113.4534373
191,23.51599893,113.3930017,23.52231568,113.3994318
192,23.14659461,113.7430031,23.15280682,113.7494467
193,23.40798923,113.5364043,23.41421337,113.5428664
194,23.33344923,113.2895112,23.33974917,113.2959563
195,23.87566226,114.0304023,23.88165413,114.0368994
196,23.39996159,113.4289163,23.40598088,113.4354123
197,23.07192397,113.4513133,23.07762218,113.457895
198,23.82589651,113.855125,23.83198583,113.8616001
199,23.32930061,113.2895109,23.33560134,113.2959598
200,23.65650052,113.5229907,23.66284002,113.5294355
201,23.11739427,113.5453409,23.12347339,113.5518087
202,23.42451706,113.6485927,23.43082795,113.6550482
203,23.50769193,113.37052,23.51369875,113.3770063
204,23.09673891,113.5005735,23.10291862,113.5070404
205,23.70197663,113.6890959,23.70768924,113.6956537
206,23.48272272,113.2041983,23.4884891,113.2107278
207,23.78044472,113.8596024,23.7866129,113.8660852
208,23.29621467,113.3525088,23.301948,113.3590789
209,23.17562526,113.5229583,23.18196467,113.5294039
210,23.11334874,113.2535378,23.11940874,113.2600124
211,23.66500053,113.4289348,23.67102344,113.4354498
212,23.27551937,113.4109543,23.28180422,113.4173911
213,23.30039398,113.442364,23.30619226,113.4489233
214,23.22554057,113.2176361,23.23120237,113.2241996
215,23.15486303,113.8058026,23.16061062,113.8123485
216,23.33334229,113.6800742,23.339172,113.6866161
217,23.50335334,113.5185042,23.50968975,113.5249189
218,23.55723182,113.7565006,23.56357115,113.7629493
219,22.58432615,113.6215648,22.5905239,113.628045
